timestamp, name, index, utilization.gpu [%], memory.used [MiB], memory.total [MiB]
2025/04/04 12:34:59.008, NVIDIA A10, 0, 0 %, 1 MiB, 23028 MiB
2025/04/04 12:35:59.008, NVIDIA A10, 0, 0 %, 1 MiB, 23028 MiB
2025/04/04 12:36:59.009, NVIDIA A10, 0, 0 %, 1 MiB, 23028 MiB
2025/04/04 12:37:59.009, NVIDIA A10, 0, 0 %, 1 MiB, 23028 MiB
2025/04/04 12:38:59.010, NVIDIA A10, 0, 0 %, 1 MiB, 23028 MiB
2025/04/04 12:39:59.010, NVIDIA A10, 0, 0 %, 1 MiB, 23028 MiB
2025/04/04 12:40:59.010, NVIDIA A10, 0, 0 %, 1 MiB, 23028 MiB
2025/04/04 12:41:59.011, NVIDIA A10, 0, 0 %, 1 MiB, 23028 MiB
2025/04/04 12:42:59.011, NVIDIA A10, 0, 0 %, 1 MiB, 23028 MiB
2025/04/04 12:43:59.012, NVIDIA A10, 0, 0 %, 1 MiB, 23028 MiB
2025/04/04 12:44:59.012, NVIDIA A10, 0, 0 %, 1 MiB, 23028 MiB
2025/04/04 12:45:59.013, NVIDIA A10, 0, 0 %, 1 MiB, 23028 MiB
2025/04/04 12:46:59.014, NVIDIA A10, 0, 0 %, 1 MiB, 23028 MiB
2025/04/04 12:47:59.014, NVIDIA A10, 0, 0 %, 1 MiB, 23028 MiB
2025/04/04 12:48:59.015, NVIDIA A10, 0, 0 %, 1 MiB, 23028 MiB
2025/04/04 12:49:59.015, NVIDIA A10, 0, 0 %, 1 MiB, 23028 MiB
2025/04/04 12:50:59.016, NVIDIA A10, 0, 0 %, 1 MiB, 23028 MiB
2025/04/04 12:51:59.016, NVIDIA A10, 0, 0 %, 1 MiB, 23028 MiB
2025/04/04 12:52:59.016, NVIDIA A10, 0, 0 %, 1 MiB, 23028 MiB
2025/04/04 12:53:59.016, NVIDIA A10, 0, 0 %, 1 MiB, 23028 MiB
2025/04/04 12:54:59.016, NVIDIA A10, 0, 0 %, 1 MiB, 23028 MiB
2025/04/04 12:55:59.017, NVIDIA A10, 0, 0 %, 1 MiB, 23028 MiB
2025/04/04 12:56:59.017, NVIDIA A10, 0, 0 %, 1 MiB, 23028 MiB
2025/04/04 12:57:59.018, NVIDIA A10, 0, 0 %, 1 MiB, 23028 MiB
2025/04/04 12:58:59.018, NVIDIA A10, 0, 0 %, 1 MiB, 23028 MiB
2025/04/04 12:59:59.019, NVIDIA A10, 0, 0 %, 1 MiB, 23028 MiB
2025/04/04 13:00:59.019, NVIDIA A10, 0, 0 %, 1 MiB, 23028 MiB
2025/04/04 13:01:59.020, NVIDIA A10, 0, 0 %, 1 MiB, 23028 MiB
2025/04/04 13:02:59.020, NVIDIA A10, 0, 0 %, 1 MiB, 23028 MiB
2025/04/04 13:03:59.021, NVIDIA A10, 0, 0 %, 1 MiB, 23028 MiB
2025/04/04 13:04:59.021, NVIDIA A10, 0, 0 %, 1 MiB, 23028 MiB
2025/04/04 13:05:59.021, NVIDIA A10, 0, 0 %, 1 MiB, 23028 MiB
2025/04/04 13:06:59.022, NVIDIA A10, 0, 0 %, 1 MiB, 23028 MiB
2025/04/04 13:07:59.022, NVIDIA A10, 0, 0 %, 1 MiB, 23028 MiB
2025/04/04 13:08:59.022, NVIDIA A10, 0, 0 %, 1 MiB, 23028 MiB
2025/04/04 13:09:59.023, NVIDIA A10, 0, 0 %, 1 MiB, 23028 MiB
2025/04/04 13:10:59.023, NVIDIA A10, 0, 0 %, 709 MiB, 23028 MiB
2025/04/04 13:11:59.023, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 13:12:59.024, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 13:13:59.024, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 13:14:59.025, NVIDIA A10, 0, 86 %, 3351 MiB, 23028 MiB
2025/04/04 13:15:59.025, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 13:16:59.025, NVIDIA A10, 0, 86 %, 3351 MiB, 23028 MiB
2025/04/04 13:17:59.026, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 13:18:59.026, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 13:19:59.026, NVIDIA A10, 0, 95 %, 3351 MiB, 23028 MiB
2025/04/04 13:20:59.026, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 13:21:59.027, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 13:22:59.027, NVIDIA A10, 0, 96 %, 3351 MiB, 23028 MiB
2025/04/04 13:23:59.026, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
