Data loaded!
Total unique citation sentences: 58405093
Processing chunk 5 (50000000 to 58405093)
[0/8405093] Processed: 384 | Elapsed: 0.02 min | ETA: 364.43 min
[38400/8405093] Processed: 38,784 | Elapsed: 1.50 min | ETA: 324.26 min
[76800/8405093] Processed: 77,184 | Elapsed: 3.01 min | ETA: 324.24 min
[115200/8405093] Processed: 115,584 | Elapsed: 4.51 min | ETA: 323.50 min
[153600/8405093] Processed: 153,984 | Elapsed: 6.01 min | ETA: 322.27 min
[192000/8405093] Processed: 192,384 | Elapsed: 7.52 min | ETA: 320.85 min
[230400/8405093] Processed: 230,784 | Elapsed: 9.02 min | ETA: 319.54 min
[268800/8405093] Processed: 269,184 | Elapsed: 10.53 min | ETA: 318.16 min
[307200/8405093] Processed: 307,584 | Elapsed: 12.03 min | ETA: 316.74 min
[345600/8405093] Processed: 345,984 | Elapsed: 13.53 min | ETA: 315.21 min
[384000/8405093] Processed: 384,384 | Elapsed: 15.03 min | ETA: 313.70 min
[422400/8405093] Processed: 422,784 | Elapsed: 16.54 min | ETA: 312.21 min
[460800/8405093] Processed: 461,184 | Elapsed: 18.04 min | ETA: 310.69 min
[499200/8405093] Processed: 499,584 | Elapsed: 19.54 min | ETA: 309.23 min
[537600/8405093] Processed: 537,984 | Elapsed: 21.05 min | ETA: 307.78 min
[576000/8405093] Processed: 576,384 | Elapsed: 22.55 min | ETA: 306.32 min
[614400/8405093] Processed: 614,784 | Elapsed: 24.05 min | ETA: 304.81 min
[652800/8405093] Processed: 653,184 | Elapsed: 25.56 min | ETA: 303.32 min
[691200/8405093] Processed: 691,584 | Elapsed: 27.06 min | ETA: 301.82 min
[729600/8405093] Processed: 729,984 | Elapsed: 28.57 min | ETA: 300.37 min
[768000/8405093] Processed: 768,384 | Elapsed: 30.07 min | ETA: 298.88 min
[806400/8405093] Processed: 806,784 | Elapsed: 31.58 min | ETA: 297.40 min
[844800/8405093] Processed: 845,184 | Elapsed: 33.08 min | ETA: 295.93 min
[883200/8405093] Processed: 883,584 | Elapsed: 34.59 min | ETA: 294.45 min
[921600/8405093] Processed: 921,984 | Elapsed: 36.09 min | ETA: 292.94 min
[960000/8405093] Processed: 960,384 | Elapsed: 37.59 min | ETA: 291.43 min
[998400/8405093] Processed: 998,784 | Elapsed: 39.10 min | ETA: 289.94 min
[1036800/8405093] Processed: 1,037,184 | Elapsed: 40.60 min | ETA: 288.44 min
[1075200/8405093] Processed: 1,075,584 | Elapsed: 42.11 min | ETA: 286.95 min
[1113600/8405093] Processed: 1,113,984 | Elapsed: 43.61 min | ETA: 285.45 min
[1152000/8405093] Processed: 1,152,384 | Elapsed: 45.12 min | ETA: 283.96 min
[1190400/8405093] Processed: 1,190,784 | Elapsed: 46.62 min | ETA: 282.44 min
[1228800/8405093] Processed: 1,229,184 | Elapsed: 48.12 min | ETA: 280.92 min
[1267200/8405093] Processed: 1,267,584 | Elapsed: 49.63 min | ETA: 279.44 min
[1305600/8405093] Processed: 1,305,984 | Elapsed: 51.13 min | ETA: 277.93 min
[1344000/8405093] Processed: 1,344,384 | Elapsed: 52.63 min | ETA: 276.43 min
[1382400/8405093] Processed: 1,382,784 | Elapsed: 54.14 min | ETA: 274.94 min
[1420800/8405093] Processed: 1,421,184 | Elapsed: 55.65 min | ETA: 273.46 min
[1459200/8405093] Processed: 1,459,584 | Elapsed: 57.15 min | ETA: 271.94 min
[1497600/8405093] Processed: 1,497,984 | Elapsed: 58.65 min | ETA: 270.44 min
[1536000/8405093] Processed: 1,536,384 | Elapsed: 60.16 min | ETA: 268.95 min
[1574400/8405093] Processed: 1,574,784 | Elapsed: 61.66 min | ETA: 267.43 min
[1612800/8405093] Processed: 1,613,184 | Elapsed: 63.16 min | ETA: 265.94 min
[1651200/8405093] Processed: 1,651,584 | Elapsed: 64.65 min | ETA: 264.37 min
[1689600/8405093] Processed: 1,689,984 | Elapsed: 66.14 min | ETA: 262.82 min
[1728000/8405093] Processed: 1,728,384 | Elapsed: 67.64 min | ETA: 261.28 min
[1766400/8405093] Processed: 1,766,784 | Elapsed: 69.11 min | ETA: 259.68 min
[1804800/8405093] Processed: 1,805,184 | Elapsed: 70.60 min | ETA: 258.12 min
[1843200/8405093] Processed: 1,843,584 | Elapsed: 72.08 min | ETA: 256.53 min
[1881600/8405093] Processed: 1,881,984 | Elapsed: 73.57 min | ETA: 254.99 min
[1920000/8405093] Processed: 1,920,384 | Elapsed: 75.06 min | ETA: 253.48 min
[1958400/8405093] Processed: 1,958,784 | Elapsed: 76.55 min | ETA: 251.93 min
